"Year","MAKE","MODEL","VEHICLE CLASS","ENGINE SIZE","CYLINDERS","FUEL CONSUMPTION"
2000,"ACURA","1.6EL","COMPACT",1.6,4,10.5
2000,"ACURA","1.6EL","COMPACT",1.6,4,9.8
2000,"ACURA","INTEGRA","SUBCOMPACT",1.8,4,11.4
2000,"ACURA","INTEGRA","SUBCOMPACT",1.8,4,10.6
2000,"ACURA","INTEGRA GSR/TYPE R","SUBCOMPACT",1.8,4,10.8
2000,"AUDI","A4","COMPACT",1.8,4,12.9
2000,"AUDI","A4","COMPACT",1.8,4,11.1
2000,"AUDI","A4 QUATTRO","COMPACT",1.8,4,13.6
2000,"AUDI","A4 QUATTRO","COMPACT",1.8,4,12.1
2000,"AUDI","TT COUPE QUATTRO","MINICOMPACT",1.8,4,13.1
2000,"AUDI","TT COUPE QUATTRO (SUPERCHARGED)","MINICOMPACT",1.8,4,13.1
2000,"AUDI","TT ROADSTER","TWO-SEATER",1.8,4,12.3
2000,"AUDI","TT ROADSTER QUATTRO (SUPERCHARGED)","TWO-SEATER",1.8,4,13.1
2000,"CHEVROLET","CAVALIER","SUBCOMPACT",2.2,4,11.6
2000,"CHEVROLET","CAVALIER","SUBCOMPACT",2.2,4,12.2
2000,"CHEVROLET","CAVALIER","SUBCOMPACT",2.4,4,12.5
2000,"CHEVROLET","CAVALIER","SUBCOMPACT",2.4,4,12.1
2000,"CHEVROLET","CAVALIER BIFUEL","SUBCOMPACT",2.2,4,11.8
2000,"CHEVROLET","METRO","SUBCOMPACT",1.3,4,9.1
2000,"CHEVROLET","METRO","SUBCOMPACT",1.3,4,7.6
2000,"CHEVROLET","S10","PICKUP TRUCK - SMALL",2.2,4,13.8
2000,"CHEVROLET","S10","PICKUP TRUCK - SMALL",2.2,4,12.2
2000,"CHEVROLET","TRACKER 4X4","SUV",2,4,11.7
2000,"CHEVROLET","TRACKER 4X4","SUV",2,4,11.9
2000,"CHEVROLET","TRACKER CONVERTIBLE 4X4","SUV",1.6,4,10.5
2000,"CHEVROLET","TRACKER CONVERTIBLE 4X4","SUV",2,4,11.7
2000,"CHEVROLET","TRACKER CONVERTIBLE 4X4","SUV",2,4,11.9
